CODICE_SCUOLA,M_Docenti,F_Docenti,Tot_Docenti,M_Supplenti,F_Supplenti,Tot_Supplenti,M_ATA,F_ATA,Tot_ATA
NAEE8FQ03B,3,55,58,1,14,15,13,13,26
PEMM83802R,3,55,58,1,14,15,13,13,26
NAEE8FK01A,0,47,47,0,8,8,10,9,19
TSEE81806E,4,29,33,0,2,2,7,25,32
SSMM83801C,11,40,51,4,15,19,9,29,38
FGPS053017,48,96,144,8,34,42,24,17,41
LTEE80102Q,3,50,53,2,22,24,6,22,28
BARH06951G,58,86,144,10,32,42,0,0,0
CHMM81604D,2,22,24,1,6,7,10,16,26
AVPC090004,19,58,77,0,3,3,9,15,24
MNEE800056,4,72,76,3,20,23,6,31,37
PGRI038015,17,17,34,2,2,4,2,8,10
NUMM878013,4,22,26,0,5,5,4,12,16
BAEE818013,1,45,46,0,24,24,6,15,21
NAEE33504R,2,43,45,0,13,13,9,9,18
TOEE894018,4,61,65,0,13,13,16,31,47
VIRC007011,74,101,175,14,32,46,11,24,35
MOEE70203G,74,101,175,14,32,46,11,24,35
TOMM852026,9,14,23,1,0,1,6,16,22
LEEE07101Q,5,54,59,4,7,11,6,14,20
PNPQ00201G,23,72,95,1,5,6,6,22,28
FGEE856038,0,37,37,0,11,11,8,14,22
CREE81503L,4,41,45,2,9,11,5,19,24
PAEE8AH037,2,63,65,0,13,13,13,12,25
MBEE8EZ02Q,3,64,67,0,14,14,3,29,32
PIEE83402T,4,63,67,3,24,27,3,24,27
PCEE80401C,2,33,35,0,5,5,7,16,23
BGEE826024,3,70,73,0,14,14,3,23,26
FRMM84701B,9,47,56,2,11,13,7,24,31
CZEE849033,3,63,66,0,13,13,18,14,32
ANEE82003E,3,83,86,0,35,35,2,29,31
RERA030001,36,55,91,7,27,34,0,0,0
FOEE02007L,7,80,87,2,16,18,8,25,33
TAEE838033,7,80,87,2,16,18,8,25,33
ORMM81401G,12,21,33,2,5,7,6,19,25
FERI01451L,56,87,143,8,33,41,0,0,0
SARH05702L,42,87,129,5,16,21,16,27,43
CHMM832018,19,62,81,9,19,28,0,0,0
MIEE8EH026,3,65,68,0,19,19,9,22,31
VAEE822018,4,48,52,1,13,14,3,17,20
FIEE82302L,2,59,61,2,16,18,3,28,31
PZEE822027,1,27,28,1,3,4,1,17,18
AVMM851025,5,14,19,1,2,3,3,12,15
SSTD029024,5,14,19,1,2,3,3,12,15
SAPM07301R,54,89,143,4,16,20,17,13,30
MEMM83703T,10,56,66,0,13,13,11,24,35
SIEE806016,3,36,39,0,9,9,3,15,18
VVEE825024,5,29,34,2,8,10,9,8,17
MEMM885037,10,22,32,3,3,6,14,10,24
BAEE86001D,2,60,62,2,16,18,7,22,29
BORI024035,49,68,117,8,17,25,12,21,33
NUMM835026,6,21,27,1,2,3,4,20,24
NAEE8D401R,4,58,62,2,16,18,13,16,29
FOEE80302L,2,55,57,0,8,8,10,29,39
VAPS020004,15,56,71,1,1,2,5,18,23
MTEE82701C,3,90,93,0,14,14,7,31,38
FGEE877039,2,60,62,1,24,25,7,10,17
MIEE8EQ026,3,70,73,1,18,19,12,23,35
TOEE87601P,10,61,71,3,11,14,9,25,34
TEEE83201C,2,69,71,1,28,29,3,24,27
REEE81502V,2,28,30,0,5,5,5,17,22
CSEE856018,3,37,40,0,5,5,9,9,18
PZMM81701N,3,15,18,0,2,2,4,17,21
CTMM8AJ01R,12,38,50,5,13,18,9,22,31
FIEE87301L,6,88,94,2,21,23,8,30,38
CAEE891023,0,53,53,0,18,18,7,13,20
BSMM89701L,7,35,42,4,5,9,8,22,30
TOEE804051,4,57,61,0,13,13,7,31,38
BAMM847012,2,43,45,1,11,12,4,22,26
PZMM827029,9,21,30,3,2,5,6,16,22
RMEE80702T,4,120,124,1,33,34,13,28,41
NURH03050N,56,71,127,6,12,18,24,33,57
RMMM8GD01E,5,40,45,0,9,9,5,23,28
BOMM84401D,10,24,34,3,4,7,9,19,28
CSEE88802R,5,56,61,1,21,22,15,9,24
NARC092017,68,120,188,11,35,46,19,15,34
PSMM808024,4,8,12,0,1,1,2,14,16
NAEE11001G,2,41,43,0,12,12,6,13,19
MNTF002018,39,58,97,2,5,7,6,19,25
TOEE8AF024,1,64,65,0,16,16,8,29,37
REEE850048,2,82,84,1,18,19,7,20,27
VBEE80406E,1,43,44,1,10,11,5,26,31
CNMM819033,7,28,35,2,5,7,10,21,31
PSEE824012,4,73,77,1,23,24,5,32,37
RMEE8DS014,0,74,74,0,26,26,3,20,23
TOEE8BM045,5,64,69,2,11,13,4,32,36
VBEE80404C,1,43,44,1,10,11,5,26,31
CNEE819045,3,50,53,1,12,13,10,21,31
BOEE825015,1,87,88,0,23,23,3,34,37
TOTF01350E,72,100,172,22,27,49,0,0,0
MNEE839018,6,62,68,3,19,22,3,30,33
ALEE82202E,4,39,43,2,9,11,5,22,27
LIEE01337Q,4,39,43,2,9,11,5,22,27
RIEE817118,5,61,66,1,21,22,3,32,35
CBEE84603R,4,52,56,1,10,11,6,18,24
PZEE88506E,0,54,54,0,7,7,8,20,28
NAEE185022,3,63,66,0,10,10,11,10,21
MIEE8FU03E,7,81,88,4,21,25,5,16,21
CERH032064,7,81,88,4,21,25,5,16,21
AQMM83902P,6,23,29,3,10,13,8,15,23
MIPS210009,24,75,99,2,1,3,4,23,27
CEEE848027,2,63,65,0,9,9,10,13,23
BGPS001017,29,34,63,1,3,4,5,15,20
UDEE852031,4,55,59,1,7,8,3,30,33
RMEE8ET02G,4,86,90,4,23,27,3,24,27
CZMM82901P,14,20,34,0,3,3,16,11,27
TVEE83803A,3,83,86,2,21,23,2,28,30
SSMM84601B,17,50,67,4,20,24,4,23,27
PREE80901C,5,49,54,0,11,11,4,26,30
TORC05251L,59,162,221,18,57,75,0,0,0
TVMM88103G,13,40,53,2,6,8,8,21,29
IMEE816062,2,74,76,0,18,18,6,28,34
APEE826012,1,57,58,0,16,16,6,34,40
BGMM85301A,5,16,21,1,3,4,4,10,14
VVSD00750R,31,74,105,4,14,18,0,0,0
RMEE8FS02A,5,116,121,4,30,34,9,29,38
NAEE8DZ01X,2,50,52,0,13,13,15,12,27
AVPS018012,34,72,106,4,16,20,15,11,26
ALEE833021,1,77,78,0,25,25,8,28,36
ENMM82102Q,19,40,59,3,11,14,19,18,37
PVEE806038,2,64,66,0,13,13,7,20,27
VRRA012539,110,152,262,23,55,78,0,0,0
LCEE81804Q,6,69,75,1,18,19,12,19,31
PVEE828024,5,80,85,1,18,19,14,22,36
NAEE8GU01L,1,78,79,0,23,23,14,18,32
BAMM87401A,11,21,32,2,3,5,6,21,27
MEMM83302D,8,32,40,0,9,9,9,24,33
TVEE848031,2,53,55,0,11,11,5,17,22
VBTD00301T,87,100,187,18,24,42,20,38,58
CTEE8A302E,1,51,52,0,18,18,6,22,28
CNTA026013,71,127,198,27,38,65,16,33,49
SRTF01000Q,77,83,160,2,6,8,17,25,42
BLEE83005D,2,52,54,0,20,20,6,23,29
CEEE894021,4,125,129,2,59,61,27,12,39
SAEE84602X,1,44,45,0,13,13,8,11,19
MBEE8GB018,6,49,55,2,7,9,6,19,25
NAPS004507,50,112,162,8,26,34,0,0,0
TAEE84802L,2,54,56,0,18,18,7,19,26
VIEE850016,2,48,50,0,11,11,5,16,21
LEEE85103G,2,51,53,1,13,14,19,8,27
VAMM865015,15,34,49,1,12,13,2,26,28
PAMM8A401R,15,39,54,1,15,16,14,6,20
CREE82202P,8,90,98,4,32,36,6,36,42
FISD03000L,65,182,247,10,52,62,15,21,36
PDEE87704X,1,45,46,1,9,10,4,18,22
PDEE86601A,2,77,79,0,22,22,10,22,32
LCEE82702C,3,81,84,1,21,22,3,32,35
LIRI011014,60,79,139,9,21,30,7,26,33
PCMM81201A,12,44,56,6,10,16,9,37,46
MBTF41050B,81,100,181,4,8,12,22,31,53
VIPC02000P,35,75,110,3,15,18,6,22,28
VAEE815015,0,31,31,0,5,5,3,14,17
PAMM8AJ02A,15,31,46,4,2,6,13,15,28
TAEE86902N,15,31,46,4,2,6,13,15,28
ISEE82602N,15,31,46,4,2,6,13,15,28
SSEE82802X,1,29,30,1,4,5,2,13,15
PAMM84004C,15,20,35,3,5,8,14,8,22
NAEE021004,1,88,89,0,28,28,6,15,21
IMEE802053,1,63,64,0,12,12,7,22,29
AQEE026104,2,41,43,0,14,14,0,16,16
GEMM704015,2,41,43,0,14,14,0,16,16
GERI07000P,48,46,94,7,9,16,17,26,43
VEEE81601B,2,39,41,1,10,11,4,14,18
SARH05750X,42,87,129,5,16,21,0,0,0
SPEE815025,7,115,122,2,35,37,3,44,47
LTMM838018,10,45,55,1,12,13,9,21,30
BNEE82501C,1,28,29,0,5,5,3,19,22
RNEE018005,4,48,52,0,13,13,1,24,25
BNRC026019,40,75,115,8,30,38,7,18,25
PIEE839032,1,65,66,0,24,24,3,27,30
RMTL03251N,50,143,193,2,21,23,0,0,0
OREE81801X,3,33,36,2,7,9,4,15,19
CZMM863016,3,28,31,0,6,6,7,10,17
FIEE841015,5,70,75,2,16,18,12,15,27
FGMM81802B,5,70,75,2,16,18,12,15,27
BGEE833016,1,48,49,0,12,12,6,14,20
BOEE811028,2,47,49,0,6,6,6,23,29
BLMM81301E,9,20,29,1,4,5,4,13,17
PTEE823019,2,63,65,0,15,15,9,21,30
LEEE875067,0,49,49,0,10,10,11,8,19
PZMM82107G,13,23,36,2,2,4,7,26,33
PSPC06000D,37,137,174,11,34,45,10,28,38
BSTD03401V,48,117,165,11,28,39,14,24,38
CSEE80901P,0,22,22,0,4,4,7,9,16
BSPS00901A,76,183,259,8,34,42,15,41,56
NOMM81601E,11,42,53,2,10,12,11,31,42
MOMM82801D,5,33,38,1,4,5,4,27,31
PZEE827019,1,30,31,0,3,3,6,16,22
CAEE896026,1,50,51,1,17,18,4,18,22
PGMM82203V,12,22,34,1,4,5,3,16,19
CTMM8AK01L,6,24,30,2,5,7,11,15,26
PZEE814039,6,30,36,1,3,4,1,16,17
FOMM80801N,5,26,31,2,3,5,5,22,27
VIMM872012,9,22,31,0,7,7,8,14,22
MOEE80803B,11,72,83,3,16,19,7,30,37
VREE895025,5,51,56,1,14,15,3,21,24
BSTD02701Q,72,95,167,5,20,25,18,29,47
RMTF020506,56,81,137,4,13,17,14,17,31
REEE82302T,4,74,78,1,24,25,5,24,29
CAMM8AE01B,19,50,69,9,15,24,7,16,23
CSMM849036,13,34,47,3,5,8,14,14,28
BSEE8AD06E,2,66,68,0,12,12,9,24,33
BAEE83701C,0,35,35,0,8,8,9,12,21
RMMM818016,11,40,51,1,4,5,8,18,26
MIMM81301E,8,20,28,2,4,6,4,12,16
CBTF02301L,71,82,153,4,20,24,14,30,44
RMEE8GN01B,2,77,79,1,23,24,4,22,26
PTEE81502B,5,85,90,1,33,34,1,31,32
CSEE88406N,3,28,31,1,4,5,11,10,21
TOEE85703B,3,40,43,2,7,9,4,23,27
CLMM828015,8,44,52,1,13,14,17,12,29
CSEE86405B,1,18,19,1,3,4,12,7,19
TOSL02050C,51,107,158,8,27,35,14,22,36
CNEE814064,3,28,31,1,6,7,6,21,27
SIEE80801T,0,67,67,0,14,14,5,25,30
PGEE051042,2,87,89,0,24,24,5,26,31
RMEE85202Q,4,47,51,1,16,17,5,13,18
VEEE842021,4,50,54,1,9,10,5,14,19
PZRI04000C,45,61,106,4,11,15,11,24,35
TPTD00801A,43,73,116,11,21,32,22,19,41
VEMM855011,10,30,40,5,3,8,9,28,37
PZMM88503A,11,20,31,1,2,3,8,20,28
PGTD11000Q,36,97,133,4,23,27,14,23,37
NUTF01401Q,57,61,118,3,12,15,14,16,30
ALMM81202V,9,30,39,3,16,19,11,16,27
RMTF11401B,24,53,77,3,6,9,13,13,26
PAEE82006A,5,36,41,0,5,5,11,10,21
MCEE827077,4,80,84,1,21,22,14,23,37
TOEE887048,4,81,85,1,28,29,11,29,40
PNMM82002B,8,21,29,3,4,7,0,19,19
RMMM8C4014,8,36,44,4,6,10,1,22,23
VVEE83002G,3,37,40,0,9,9,17,9,26
VIEE808061,7,79,86,3,17,20,6,33,39
RMMM8FF01G,5,38,43,2,9,11,10,22,32
ALEE82701L,2,59,61,0,23,23,3,22,25
VEMM853019,3,20,23,1,3,4,7,16,23
LTRH010504,62,91,153,11,27,38,41,52,93
MOEE83601D,5,53,58,4,6,10,10,23,33
TVEE86002E,3,55,58,0,8,8,6,20,26
NAMM8EX01T,17,31,48,5,7,12,15,12,27
MBEE82602G,2,47,49,0,11,11,1,19,20
MNEE82303R,1,38,39,0,9,9,5,19,24
TOTD067029,1,38,39,0,9,9,5,19,24
NAMM871014,12,29,41,4,11,15,9,12,21
CNEE834014,0,32,32,0,7,7,4,19,23
MIEE84201G,3,70,73,1,14,15,5,23,28
LIMM80802E,11,19,30,4,5,9,7,16,23
FREE702012,11,19,30,4,5,9,7,16,23
BLSD00301X,21,35,56,1,3,4,8,14,22
PEEE81905G,0,39,39,0,11,11,7,17,24
CSEE8AJ01P,4,47,51,1,11,12,16,14,30
NAPS11201P,35,47,82,7,10,17,14,10,24
RMTL06650Q,42,55,97,6,6,12,0,0,0
BSMM81202N,5,39,44,0,5,5,8,18,26
BAMM84801T,11,65,76,2,19,21,4,20,24
SAEE83303V,7,28,35,1,9,10,8,10,18
SSEE85202R,4,88,92,0,24,24,8,23,31
PREE81501Q,1,46,47,0,10,10,5,21,26
CNEE833018,5,38,43,1,13,14,4,26,30
BGEE817018,3,40,43,1,9,10,2,18,20
TOTD03750R,50,98,148,8,14,22,0,0,0
BIEE816059,8,89,97,4,28,32,11,28,39
CNEE80204Q,2,44,46,1,11,12,3,27,30
TSEE80801P,4,45,49,1,8,9,10,18,28
MNMM81503R,18,31,49,4,11,15,7,25,32
AVTF00301A,32,39,71,2,7,9,13,10,23
CZEE84403X,2,43,45,0,8,8,12,20,32
NAEE8BN02C,1,53,54,0,10,10,11,17,28
VEEE875028,6,77,83,4,13,17,4,28,32
TAEE80702A,3,32,35,1,9,10,6,8,14
BORC01252E,38,107,145,4,24,28,0,0,0
AQMM82602L,10,10,20,2,3,5,6,22,28
SARA01150A,10,10,20,2,3,5,6,22,28
CSEE86805P,1,35,36,0,7,7,14,6,20
RCEE815091,6,61,67,3,14,17,13,19,32
LCMM80502E,6,34,40,0,8,8,9,18,27
NAEE81203B,2,64,66,0,16,16,8,22,30
PAEE85903D,2,69,71,1,26,27,19,8,27
PNEE813018,5,97,102,4,12,16,3,39,42
NAEE069005,5,58,63,3,24,27,6,14,20
BAEE85701N,2,57,59,0,18,18,6,21,27
FEMM808015,10,34,44,0,6,6,7,25,32
TARI024527,69,70,139,12,28,40,0,0,0
PTRH01000C,61,152,213,15,70,85,13,34,47
SPEE81101R,3,32,35,1,7,8,2,17,19
MIMM8CV018,17,41,58,6,8,14,11,21,32
CLEE014008,2,64,66,0,18,18,13,8,21
SSMM82801T,5,13,18,1,1,2,2,13,15
GEEE85803D,4,77,81,0,17,17,14,28,42
KREE81705L,1,37,38,0,3,3,12,14,26
AVEE879011,2,45,47,1,10,11,11,20,31
SAEE881038,1,33,34,0,5,5,8,11,19
ENTD02151D,61,98,159,11,18,29,0,0,0
GESD010008,15,34,49,2,9,11,4,14,18
BOMM86001B,9,28,37,2,5,7,6,25,31
NAEE00400A,0,56,56,0,10,10,6,10,16
PCEE819038,4,25,29,1,1,2,8,17,25
BAPC13000V,12,54,66,0,0,0,11,10,21
NAPS029017,21,92,113,3,21,24,10,15,25
NOEE80701R,5,58,63,2,19,21,6,31,37
LOMM81602P,14,45,59,4,13,17,3,25,28
PIEE840014,3,74,77,0,24,24,3,29,32
SSMM83601R,12,29,41,2,10,12,6,17,23
BOMM811027,8,21,29,1,3,4,6,23,29
ROEE811079,3,54,57,1,16,17,2,24,26
VIMM88701Q,6,18,24,1,1,2,5,25,30
NAEE8FM012,2,45,47,1,17,18,7,13,20
VEEE82303L,2,80,82,1,20,21,2,35,37
PARA01851L,41,34,75,2,4,6,0,0,0
CBEE828015,3,43,46,1,15,16,3,20,23
POEE805012,2,41,43,0,12,12,3,21,24
ARMM813014,9,43,52,5,17,22,4,32,36
NAEE8FU023,3,102,105,1,37,38,15,18,33
VTEE80303N,1,31,32,0,9,9,3,19,22
FIPS008012,40,90,130,3,23,26,9,18,27
TOEE81303N,6,29,35,2,7,9,4,16,20
BOEE87703X,6,29,35,2,7,9,4,16,20
PGEE82202V,1,32,33,0,8,8,3,16,19
SAEE074047,4,68,72,2,17,19,11,10,21
TOEE8B201A,3,56,59,1,17,18,8,23,31
PZMM89002R,6,10,16,0,1,1,10,11,21
VRMM895024,16,32,48,6,6,12,3,21,24
MSEE807025,2,27,29,0,5,5,2,13,15
NOEE80902D,1,62,63,0,15,15,8,26,34
LTEE84301R,3,70,73,1,34,35,8,21,29
MOEE809026,3,71,74,2,18,20,9,30,39
FIEE80902A,2,37,39,1,5,6,1,18,19
AGEE863048,11,76,87,4,9,13,15,13,28
CAEE841011,7,44,51,1,12,13,10,9,19
UDEE857023,8,73,81,4,26,30,6,23,29
VRMM8AD01A,14,44,58,4,7,11,1,26,27
FEPS00401B,49,69,118,6,16,22,6,19,25
MIEE81301G,3,36,39,1,7,8,4,12,16
CSEE84201A,3,39,42,1,7,8,16,9,25
MTRF00901N,33,61,94,1,11,12,9,17,26
CTEE84802D,1,51,52,0,10,10,7,19,26
LEMM8AH04X,4,23,27,0,7,7,9,15,24
KREE82503D,7,37,44,2,6,8,19,3,22
PSMM83501B,12,17,29,4,6,10,7,22,29
RGMM81801V,15,33,48,4,8,12,10,11,21
ORMM82803G,11,34,45,2,5,7,9,27,36
COEE84903L,2,32,34,0,7,7,9,10,19
PIMM823019,14,32,46,6,8,14,6,18,24
ORMM80601L,8,19,27,1,1,2,5,14,19
MCEE01400V,0,16,16,0,2,2,0,0,0
IMTD00750P,39,49,88,4,7,11,0,0,0
NORC010502,40,121,161,10,46,56,13,27,40
RMMM8AF01E,15,54,69,7,18,25,7,27,34
CBEE85403Q,0,47,47,0,8,8,4,17,21
CSMM864038,3,14,17,0,2,2,12,7,19
PTMM82001R,9,31,40,4,9,13,3,25,28
AVEE851037,1,31,32,0,7,7,3,12,15
SATF076019,94,99,193,5,21,26,30,16,46
PGEE037103,2,57,59,1,21,22,5,16,21
SIEE80502B,1,51,52,0,16,16,8,17,25
CATD02051N,48,69,117,4,14,18,6,22,28
MIRC102013,23,62,85,7,18,25,8,12,20
TOMM8BN02T,8,44,52,2,15,17,8,31,39
BOEE83501Q,2,18,20,0,3,3,3,12,15
MCEE806021,2,29,31,0,3,3,5,13,18
RAMM82601R,2,40,42,1,12,13,3,31,34
TOEE840032,2,71,73,1,23,24,5,26,31
LTEE820014,3,47,50,1,21,22,9,15,24
BGMM826012,15,30,45,4,5,9,3,23,26
SIMM813018,5,21,26,0,4,4,3,21,24
RITD00701E,58,65,123,5,6,11,11,32,43
PGEE806021,2,16,18,1,5,6,1,11,12
NAEE826028,0,44,44,0,18,18,6,14,20
REEE842038,2,20,22,0,2,2,1,12,13
RMMM863014,10,22,32,1,7,8,2,15,17
AREE83103R,2,28,30,1,2,3,2,18,20
PZTD02453N,25,86,111,0,17,17,0,0,0
NAMM85201P,9,40,49,2,12,14,6,15,21
MTEE82202A,2,28,30,0,7,7,10,13,23
CZEE81501T,2,30,32,0,3,3,5,12,17
NATH086509,31,42,73,1,2,3,0,0,0
TOMM83201X,8,24,32,1,4,5,2,28,30
CLRA00850B,44,58,102,6,14,20,0,0,0
CNMM834013,2,19,21,0,6,6,4,19,23
PGMM85601X,7,39,46,4,12,16,1,32,33
BAMM86001C,11,50,61,5,14,19,7,22,29
VIEE814046,3,72,75,2,13,15,7,34,41
CNMM854018,9,28,37,2,6,8,9,22,31
TVEE86705C,5,104,109,0,21,21,7,23,30
RMTD05151L,38,58,96,12,11,23,0,0,0
BOEE824019,2,53,55,1,9,10,10,28,38
BGEE88801A,2,48,50,0,6,6,3,21,24
SRRA004509,38,50,88,8,8,16,0,0,0
TVTL00101C,34,36,70,0,2,2,5,16,21
LERI033535,74,101,175,13,29,42,0,0,0
RCMM87201Q,5,24,29,1,6,7,12,11,23
GOTE00701V,31,84,115,2,8,10,9,21,30
AREE822032,2,29,31,0,4,4,4,17,21
NAMM8DV01G,8,51,59,2,14,16,15,13,28
TSEE81002Q,8,53,61,2,8,10,8,17,25
RMEE8G301Q,4,112,116,1,43,44,5,23,28
BGMM889026,8,30,38,1,11,12,2,17,19
BSMM81902C,6,25,31,0,4,4,9,16,25
METN01901D,44,136,180,10,58,68,13,27,40
SATH00601E,42,43,85,1,6,7,13,13,26
BSEE808023,2,44,46,1,5,6,7,16,23
CHEE034023,3,43,46,0,11,11,0,0,0
RCEE81507V,6,61,67,3,14,17,13,19,32
CLEE82101B,1,33,34,0,10,10,11,12,23
VETF02251P,68,81,149,15,24,39,0,0,0
MEEE86705R,5,61,66,0,27,27,16,15,31
IMEE81103Q,7,59,66,1,18,19,7,21,28
PGTF03901T,23,28,51,6,15,21,6,9,15
RNPM002015,56,103,159,6,19,25,6,33,39
LCEE81301D,2,60,62,0,17,17,6,27,33
BGEE80602V,0,44,44,0,6,6,6,20,26
BGMM86001D,10,34,44,3,10,13,5,23,28
SSMM83002V,5,14,19,1,4,5,2,15,17
PIRI020512,55,98,153,8,38,46,17,16,33
BAPC030002,28,70,98,1,12,13,8,15,23
ANEE851014,28,70,98,1,12,13,8,15,23
MITD096018,51,112,163,3,19,22,14,26,40
NOMM804018,11,27,38,5,4,9,19,18,37
MIEE8D601V,5,43,48,0,12,12,4,14,18
SPMM81801E,2,25,27,0,8,8,2,20,22
RGPM01850T,2,25,27,0,8,8,2,20,22
MBEE8CN02P,3,48,51,0,9,9,7,14,21
SAEE8AU04E,2,39,41,1,7,8,11,10,21
ALRI003517,2,39,41,1,7,8,11,10,21
KREE81102E,4,71,75,1,24,25,19,14,33
CTMM81601X,14,41,55,4,11,15,8,22,30
CEEE8A103N,1,54,55,1,15,16,11,18,29
PEEE83804X,2,56,58,1,17,18,7,24,31
PDEE854058,2,61,63,1,7,8,5,24,29
RMEE8AZ01X,1,43,44,0,14,14,4,18,22
SSEE83806P,5,83,88,0,26,26,9,29,38
FGRI02302N,46,124,170,8,33,41,16,17,33
ROEE811068,3,54,57,1,16,17,2,24,26
CHEE81604E,3,31,34,0,5,5,10,16,26
NATD128014,57,98,155,3,26,29,21,15,36
MNEE800067,57,98,155,3,26,29,21,15,36
AGPM01801R,26,57,83,5,12,17,17,8,25
FOEE02001A,7,80,87,2,16,18,8,25,33
TRMM70201A,7,80,87,2,16,18,8,25,33
MBMM84801A,4,29,33,1,10,11,2,23,25
BOMM81901R,6,21,27,0,4,4,1,26,27
SVEE81105B,3,59,62,1,15,16,7,24,31
CTPS026014,45,112,157,4,23,27,9,26,35
PZEE822016,1,27,28,1,3,4,1,17,18
BLPS00701R,22,53,75,0,1,1,7,17,24
PGEE83802C,1,20,21,0,3,3,4,13,17
MEEE88506B,2,41,43,1,13,14,14,10,24
SAMM832032,8,24,32,2,6,8,5,12,17
VRRA01203X,110,152,262,23,55,78,21,43,64
MIEE8CB022,8,70,78,3,12,15,12,16,28
VAPS01000D,17,60,77,0,2,2,9,14,23
VEEE868047,9,84,93,4,18,22,7,30,37
SAMM8B601L,2,13,15,0,4,4,13,6,19
VAEE865016,3,66,69,2,11,13,2,26,28
FGMM82302V,14,21,35,5,1,6,8,14,22
SSMM856012,7,55,62,1,14,15,6,28,34
ENPC00701V,66,76,142,9,8,17,25,17,42
FGRH060014,58,59,117,12,13,25,23,15,38
PDMM82202L,12,32,44,3,3,6,2,30,32
FIEE817018,4,52,56,1,10,11,7,21,28
CAMM866018,14,32,46,3,7,10,6,20,26
OREE81401L,4,45,49,1,18,19,6,19,25
TEEE82302P,1,38,39,0,18,18,4,15,19
MSMM048009,1,38,39,0,18,18,4,15,19
CHEE832019,3,46,49,0,19,19,0,0,0
BOEE846038,5,65,70,1,18,19,7,20,27
RMEE8AF02L,2,82,84,1,26,27,7,27,34
